CPU: ID 0x406e3, Processor Type 0x0, Family 0x6, Model 0x4e, Stepping 0x3
Northbridge: 8086:1904 (6th generation (Skylake family) Core Processor (Mobile))
Southbridge: 8086:9d48 (Sunrise Point-LP U Premium/Skylake)
IGD: 8086:1916 (Intel(R) HD Graphics 520)
Trying to reveal Primary to Sideband Bridge (P2SB),
let's hope the OS doesn't mind... done.
SBREG_BAR = 0xfd000000 (MEM)

Hiding Primary to Sideband Bridge (P2SB).

============= GPIOS =============

------- GPIO Community 0 -------

PCR Port ID: 0xaf0000

------- GPIO Group GPP_A -------
0x0400: 0x0000001844000702 GPP_A0       RCIN#               
0x0408: 0x0000001944000702 GPP_A1       LAD0                
0x0410: 0x0000001a44000702 GPP_A2       LAD1                
0x0418: 0x0000001b44000702 GPP_A3       LAD2                
0x0420: 0x0000001c44000702 GPP_A4       LAD3                
0x0428: 0x0000001d44000700 GPP_A5       LFRAME#             
0x0430: 0x0000001e44000700 GPP_A6       SERIRQ              
0x0438: 0x0000001f44000702 GPP_A7       PIRQA#              
0x0440: 0x0000002044000700 GPP_A8       CLKRUN#             
0x0448: 0x0000002144000700 GPP_A9       CLKOUT_LPC0         
0x0450: 0x0000002244000700 GPP_A10      CLKOUT_LPC1         
0x0458: 0x0000002344000300 GPP_A11      GPIO                
0x0460: 0x0000002444000300 GPP_A12      GPIO                
0x0468: 0x0000002544000700 GPP_A13      SUSWARN#/SUSPWRDNACK
0x0470: 0x0000002644000300 GPP_A14      GPIO                
0x0478: 0x0000002744000300 GPP_A15      GPIO                
0x0480: 0x0000002844000500 GPP_A16      SD_1P8_SEL          
0x0488: 0x0000002944000700 GPP_A17      SD_PWR_EN#          
0x0490: 0x0000002a44000300 GPP_A18      GPIO                
0x0498: 0x0000002b44000300 GPP_A19      GPIO                
0x04a0: 0x0000002c44000300 GPP_A20      GPIO                
0x04a8: 0x0000002d44000300 GPP_A21      GPIO                
0x04b0: 0x0000002e44000300 GPP_A22      GPIO                
0x04b8: 0x0000002f44000300 GPP_A23      GPIO                
------- GPIO Group GPP_B -------
0x04c0: 0x0000003044000300 GPP_B0       GPIO                
0x04c8: 0x0000003144000300 GPP_B1       GPIO                
0x04d0: 0x0000003244000300 GPP_B2       GPIO                
0x04d8: 0x0000003344000300 GPP_B3       GPIO                
0x04e0: 0x0000003444000300 GPP_B4       GPIO                
0x04e8: 0x0000003544000700 GPP_B5       SRCCLKREQ0#         
0x04f0: 0x0000003644000702 GPP_B6       SRCCLKREQ1#         
0x04f8: 0x0000003744000702 GPP_B7       SRCCLKREQ2#         
0x0500: 0x0000003844000300 GPP_B8       GPIO                
0x0508: 0x0000003944000700 GPP_B9       SRCCLKREQ4#         
0x0510: 0x0000003a44000700 GPP_B10      SRCCLKREQ5#         
0x0518: 0x0000003b44000300 GPP_B11      GPIO                
0x0520: 0x0000003c44000300 GPP_B12      GPIO                
0x0528: 0x0000003d44000700 GPP_B13      PLTRST#             
0x0530: 0x0000003e44000700 GPP_B14      SPKR                
0x0538: 0x0000003f44000300 GPP_B15      GPIO                
0x0540: 0x0000004044000300 GPP_B16      GPIO                
0x0548: 0x0000004144000300 GPP_B17      GPIO                
0x0550: 0x0000004244000100 GPP_B18      GPIO                
0x0558: 0x0000004344000300 GPP_B19      GPIO                
0x0560: 0x0000004484000200 GPP_B20      GPIO                
0x0568: 0x0000004544800100 GPP_B21      GPIO                
0x0570: 0x0000004644000300 GPP_B22      GPIO                
0x0578: 0x0000004744000702 GPP_B23      SML1ALERT#          
------- GPIO Community 1 -------

PCR Port ID: 0xae0000

------- GPIO Group GPP_C -------
0x0400: 0x0000004844000702 GPP_C0       SMBCLK              
0x0408: 0x0000004944000702 GPP_C1       SMBDATA             
0x0410: 0x0000004a44000702 GPP_C2       SMBALERT#           
0x0418: 0x0000004b44000702 GPP_C3       SML0CLK             
0x0420: 0x0000004c44000702 GPP_C4       SML0DATA            
0x0428: 0x0000004d44000700 GPP_C5       SML0ALERT#          
0x0430: 0xffffffffffffffff GPP_C6       RESERVED            
0x0438: 0xffffffffffffffff GPP_C7       RESERVED            
0x0440: 0x0000005044000300 GPP_C8       GPIO                
0x0448: 0x0000005144000300 GPP_C9       GPIO                
0x0450: 0x0000005244000300 GPP_C10      GPIO                
0x0458: 0x0000005344000300 GPP_C11      GPIO                
0x0460: 0x0000005444000300 GPP_C12      GPIO                
0x0468: 0x0000005544000300 GPP_C13      GPIO                
0x0470: 0x0000005644000200 GPP_C14      GPIO                
0x0478: 0x0000005780100102 GPP_C15      GPIO                
0x0480: 0x0000005844000702 GPP_C16      I2C0_SDA            
0x0488: 0x0000005944000702 GPP_C17      I2C0_SCL            
0x0490: 0x0000005a44000201 GPP_C18      GPIO                
0x0498: 0x0000005b44000201 GPP_C19      GPIO                
0x04a0: 0x0000005c84000200 GPP_C20      GPIO                
0x04a8: 0x0000005d84000200 GPP_C21      GPIO                
0x04b0: 0x0000005e44000100 GPP_C22      GPIO                
0x04b8: 0x0000005f44000300 GPP_C23      GPIO                
------- GPIO Group GPP_D -------
0x04c0: 0x0000006044000100 GPP_D0       GPIO                
0x04c8: 0x0000006144000300 GPP_D1       GPIO                
0x04d0: 0x0000006244000300 GPP_D2       GPIO                
0x04d8: 0x0000006344000300 GPP_D3       GPIO                
0x04e0: 0x0000006444000300 GPP_D4       GPIO                
0x04e8: 0x0000006544000100 GPP_D5       GPIO                
0x04f0: 0x0000006644000100 GPP_D6       GPIO                
0x04f8: 0x0000006744000100 GPP_D7       GPIO                
0x0500: 0x0000006844000100 GPP_D8       GPIO                
0x0508: 0x0000006944000100 GPP_D9       GPIO                
0x0510: 0x0000006a44000100 GPP_D10      GPIO                
0x0518: 0x0000006b44000300 GPP_D11      GPIO                
0x0520: 0x0000006c44000100 GPP_D12      GPIO                
0x0528: 0x0000006d44000300 GPP_D13      GPIO                
0x0530: 0x0000006e44000300 GPP_D14      GPIO                
0x0538: 0x0000006f44000300 GPP_D15      GPIO                
0x0540: 0x0000007044000300 GPP_D16      GPIO                
0x0548: 0x0000007144000300 GPP_D17      GPIO                
0x0550: 0x0000007244000300 GPP_D18      GPIO                
0x0558: 0x0000007344000100 GPP_D19      GPIO                
0x0560: 0x0000107444000100 GPP_D20      GPIO                
0x0568: 0x0000007544000300 GPP_D21      GPIO                
0x0570: 0x0000007644000300 GPP_D22      GPIO                
0x0578: 0x0000007744000300 GPP_D23      GPIO                
------- GPIO Group GPP_E -------
0x0580: 0x0000001844000b02 GPP_E0       SATAGP0             
0x0588: 0x0000001944000102 GPP_E1       GPIO                
